SUDT ACCESSPORT LOG FILE - Monitor mode

监控: COM9 COM10
创建时间: 2026-04-04, 22:25:33
计算机名: 黑妹
系统版本:  (Build 9200)

#	Time		Duration (s)	Process		Request                             	Port	Result	Data ( Hex )	

1	22:21:54.001	0.00013340	ModScan32.exe	IRP_MJ_CREATE                       	COM10	SUCCESS	Port Opened	
2	22:21:54.001	0.00000120	ModScan32.exe	IOCTL_SERIAL_SET_QUEUE_SIZE         	COM10	SUCCESS	InSize: 4096, OutSize: 4096	
3	22:21:54.001	0.00000110	ModScan32.exe	IOCTL_SERIAL_PURGE                  	COM10	SUCCESS	Purge: TXABORT RXABORT TXCLEAR RXCLEAR	
4	22:21:54.001	0.00000050	ModScan32.exe	IOCTL_SERIAL_SET_TIMEOUTS           	COM10	SUCCESS	ReadIntervalTimeout: 0, ReadTotalTimeoutMultiplier: 0, ReadTotalTimeoutConstant: 2000, WriteTotalTimeoutMultiplier: 0, WriteTotalTimeoutConstant: 2000	
5	22:21:54.001	0.00000050	ModScan32.exe	IOCTL_SERIAL_SET_BAUD_RATE          	COM10	SUCCESS	Baud Rate: 9600	
6	22:21:54.001	0.00000040	ModScan32.exe	IOCTL_SERIAL_CLR_RTS                	COM10	SUCCESS		
7	22:21:54.001	0.00000050	ModScan32.exe	IOCTL_SERIAL_CLR_DTR                	COM10	SUCCESS		
8	22:21:54.001	0.00000040	ModScan32.exe	IOCTL_SERIAL_SET_LINE_CONTROL       	COM10	SUCCESS	StopBits: 1, Parity: No, DataBits: 8	
9	22:21:54.001	0.00000040	ModScan32.exe	IOCTL_SERIAL_SET_CHARS              	COM10	SUCCESS	EofChar: 0x0, ErrorChar: 0x0, BreakChar: 0x0, EventChar: 0x0, XonChar: 0x11, XoffChar: 0x13	
10	22:21:54.001	0.00000060	ModScan32.exe	IOCTL_SERIAL_SET_HANDFLOW           	COM10	SUCCESS	ControlHandShake: 0x0, FlowReplace: 0x0, XonLimit: 2048, XoffLimit: 512	
11	22:21:54.001	0.00000180	ModScan32.exe	IOCTL_SERIAL_PURGE                  	COM10	SUCCESS	Purge: TXABORT RXABORT TXCLEAR RXCLEAR	
12	22:21:54.824	0.00001580	ModScan32.exe	IOCTL_SERIAL_SET_WAIT_MASK          	COM10	SUCCESS	Mask: TXEMPTY	
13	22:21:54.824	0.00000870	ModScan32.exe	IRP_MJ_WRITE                        	COM10	SUCCESS	Length: 8, Data: 01 03 00 00 00 64 44 21 	
14	22:21:54.824	0.00000250	ModScan32.exe	IOCTL_SERIAL_WAIT_ON_MASK           	COM10	SUCCESS		
15	22:21:54.824	0.00000120	ModScan32.exe	IOCTL_SERIAL_PURGE                  	COM10	SUCCESS	Purge: TXABORT RXABORT TXCLEAR RXCLEAR	
